Número;Mailing;Operador;CNPJ;RAZAO_SOCIAL;"Texto de Integração";Finalizado;Status;Classificação;Subclassificação;"Data que ligou"
15997072792;01-Recadastro_02-03;;52629732000149;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:22:06"
12991372443;01-Recadastro_02-03;;26481436000133;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:07:50"
81992125699;01-Recadastro_02-03;;35900531000115;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:07:50"
14996299837;01-Recadastro_02-03;;38280461000138;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:07:50"
66999628847;01-Recadastro_02-03;;19779005000192;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:07:50"
37998693686;01-Recadastro_02-03;;42877339000110;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:07:50"
43998637344;01-Recadastro_02-03;;46308675000101;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:07:50"
28999167301;01-Recadastro_02-03;;33446464000185;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:07:50"
32999321297;01-Recadastro_02-03;;16733530000189;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:44"
61983042712;01-Recadastro_02-03;;61898828000101;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:25:18"
21996503896;01-Recadastro_02-03;;31609785000128;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:07:51"
34991330742;01-Recadastro_02-03;;62403009000109;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:44"
12991461866;01-Recadastro_02-03;;54705064000117;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:07:53"
61991062376;01-Recadastro_02-03;;64318434000117;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:07:54"
24992210385;01-Recadastro_02-03;;24605020000154;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:07:55"
17981850516;01-Recadastro_02-03;;15794336000140;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:45"
21980384823;01-Recadastro_02-03;;39279334000181;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:07:57"
31985955099;01-Recadastro_02-03;;34302446000192;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:07:57"
75999681148;01-Recadastro_02-03;;07887775000170;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:44:45"
87996173821;01-Recadastro_02-03;;38031511000143;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:07:57"
53999796136;01-Recadastro_02-03;;19261250000103;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:25:19"
82988234550;01-Recadastro_02-03;;38188789000129;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:07:57"
22997111237;01-Recadastro_02-03;;20869656000152;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:07:57"
27992055220;01-Recadastro_02-03;"Otavio Henrique Silva de Avila";29987912000180;RECADASTRO;;Não;"Em Fila";Improdutiva;"QUEDA DE LIGACAO";"02/03/2026 16:13:58"
43984552876;01-Recadastro_02-03;;62313322000148;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:07:57"
11993634125;01-Recadastro_02-03;;38256584000133;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:11:35"
21975939901;01-Recadastro_02-03;;62431258000108;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:45"
48999563739;01-Recadastro_02-03;;35409129000132;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:33:37"
86988061707;01-Recadastro_02-03;;19735987000110;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:45"
47999563503;01-Recadastro_02-03;;37468558000106;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:09:33"
88993462303;01-Recadastro_02-03;"Carla Cristina de Lima Kauffmann";38494637000154;RECADASTRO;;Não;"Em Fila";"Agendada - 03/03/2026 13:00:00";"RETORNO COM AGENDAMENTO";"02/03/2026 16:09:33"
47999036874;01-Recadastro_02-03;;35996864000190;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:45"
86999216018;01-Recadastro_02-03;;15374209000192;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:00"
21970179575;01-Recadastro_02-03;;36740282000100;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:46"
37984019306;01-Recadastro_02-03;;30982230000245;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:01"
92999925723;01-Recadastro_02-03;;22118113000129;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:01"
17997780111;01-Recadastro_02-03;;45245141000102;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:01"
11984070523;01-Recadastro_02-03;;36694951000155;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:46"
92991599399;01-Recadastro_02-03;;36204539000100;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:03"
14997683227;01-Recadastro_02-03;;55953621000181;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:04"
