Número;Mailing;Operador;CNPJ;"RAZAO SOCIAL";"Texto de Integração";Finalizado;Status;Classificação;Subclassificação;"Data que ligou"
19974020021;01-C6_Repescagem12.11;;55188495000116;REPESCAGEM;;Sim;Falhou;-;-;"12/11/2025 15:14:07"
11999150546;01-C6_Repescagem12.11;;63575913000156;REPESCAGEM;;Sim;Falhou;-;-;"12/11/2025 15:14:07"
22927238711;01-C6_Repescagem12.11;;39221007000179;REPESCAGEM;;Sim;Falhou;-;-;"12/11/2025 15:14:07"
19992808503;01-C6_Repescagem12.11;;49681384000144;REPESCAGEM;;Sim;Falhou;-;-;"12/11/2025 15:14:07"
21964992566;01-C6_Repescagem12.11;"Franciane Cordeiro";29962418000161;REPESCAGEM;;Sim;Atendido;Produtiva;"SEM INTERESSE";"12/11/2025 08:20:14"
19996659082;01-C6_Repescagem12.11;"Franciane Cordeiro";62631843000143;REPESCAGEM;;Sim;Atendido;Produtiva;"SEM INTERESSE";"12/11/2025 08:24:28"
27998469575;01-C6_Repescagem12.11;;32751704000192;REPESCAGEM;;Sim;Falhou;-;-;"12/11/2025 15:14:07"
64981109161;01-C6_Repescagem12.11;;28114926000127;REPESCAGEM;;Sim;Falhou;-;-;"12/11/2025 15:14:08"
48984757666;01-C6_Repescagem12.11;;22217227000126;REPESCAGEM;;Sim;Falhou;-;-;"12/11/2025 15:14:54"
14998722557;01-C6_Repescagem12.11;;61758274000139;REPESCAGEM;;Sim;Atendido;-;-;"12/11/2025 09:19:02"
33999452937;01-C6_Repescagem12.11;;58921455000120;REPESCAGEM;;Sim;Falhou;-;-;"12/11/2025 15:14:54"
87996047870;01-C6_Repescagem12.11;;62239870000175;REPESCAGEM;;Sim;Atendido;-;-;"12/11/2025 08:44:33"
17991349537;01-C6_Repescagem12.11;;12391767000178;REPESCAGEM;;Sim;Falhou;-;-;"12/11/2025 15:14:54"
47996651810;01-C6_Repescagem12.11;;36600455000195;REPESCAGEM;;Sim;Falhou;-;-;"12/11/2025 15:14:54"
